"","Year","Week","SK05JG004_cms","SK05JG004_combined_cms","SK05JG004_predicted_cms","SK05JG006_cms","SK05JG013_cms","SK05JG014_cms","SK05JG014_combined_cms","SK05JG014_predicted_cms","Ungauged_predicted_cms","RC_IC_cms"
"588",1991,5,1.43428571428571,1.43428571428571,1.31725714285714,1.41285714285714,0,NA,0,0,-0.0956,0
"589",1991,6,1.90428571428571,1.90428571428571,1.39570359326351,1.46428571428571,0.00328571428571429,NA,0.0196345819308974,0.0196345819308974,-0.0915024172388171,0.0229202962166117
"590",1991,7,1.47285714285714,1.47285714285714,1.41591299187216,1.49571428571429,0.001,NA,0.0135500091449568,0.0135500091449568,-0.09435130298708,0.0145500091449568
"591",1991,8,2.09142857142857,2.09142857142857,2.04894321582664,2.13285714285714,0.001,NA,0.00943789527440192,0.00943789527440192,-0.0943518223049086,0.0104378952744019
"592",1991,9,1.93428571428571,1.93428571428571,2.09734957989351,2.18428571428571,0.000714285714285714,0,0.00193571559213668,0.00705791312570008,-0.0947083332321886,0.0026500013064224
"593",1991,10,1.93571428571429,1.93571428571429,2.07411267602112,2.14285714285714,0.00542857142857143,0,0,0.0146786802364776,-0.0888517185010743,0.00542857142857143
"594",1991,11,1.97,1.97,2.45240927513251,2.11142857142857,0.147714285714286,0,0,0.115827039018105,0.0774393789715429,0.147714285714286
"595",1991,12,2.69714285714286,2.69714285714286,2.56523755931782,2.14142857142857,0.176857142857143,0.00157142857142857,0.00157142857142857,0.134417966767924,0.112533878264183,0.178428571428571
"596",1991,13,2.07285714285714,2.07285714285714,2.264034378625,2.12,0.0591428571428571,0,0,0.0928016884115403,-0.0079101669294,0.0591428571428571
"597",1991,14,2.54142857142857,2.54142857142857,2.4791368778,2.31571428571429,0.0448571428571429,0,0,0.140735685714286,-0.0221702364857143,0.0448571428571429
"598",1991,15,4.93,4.93,4.80772142981714,4.71857142857143,0.0274285714285714,0,0,0.132096342857143,-0.07037491304,0.0274285714285714
"599",1991,16,5.24571428571429,5.24571428571429,6.42936123908857,6.37857142857143,0.0184285714285714,0,0,0.127635042857143,-0.0952738037685714,0.0184285714285714
"600",1991,17,7.01571428571429,7.01571428571429,8.47901952596286,8.26285714285714,0.0572857142857143,0,0,0.146896528571429,0.0119801402485714,0.0572857142857143
"601",1991,18,11.6,11.6,11.6226659514114,11.4142857142857,0.0554285714285714,0,0,0.145975942857143,0.00697572283999999,0.0554285714285714
"602",1991,19,8.92571428571429,8.92571428571429,7.94114513023429,7.46142857142857,0.119428571428571,0,0,0.177700742857143,0.18258724452,0.119428571428571
"603",1991,20,7.954,7.954,6.35903347819714,5.78642857142857,0.141285714285714,0,0,0.188535328571429,0.242783863911429,0.141285714285714
"604",1991,21,4.37142857142857,4.37142857142857,5.65180280405143,5.531,0.0348571428571429,0,0,0.135778685714286,-0.04983302452,0.0348571428571429
"605",1991,22,10.9714285714286,10.9714285714286,10.4424064239057,10.2857142857143,0.0432857142857143,0,0,0.139956728571429,-0.0265503046657143,0.0432857142857143
"606",1991,23,12.0571428571429,12.0571428571429,14.3926939289429,10.1285714285714,1.02285714285714,0,0,0.625530285714286,2.6157350718,1.02285714285714
"607",1991,24,10.0428571428571,10.0428571428571,9.58656842089429,8.77714285714286,0.197,0,0,0.2161529,0.396272663751429,0.197
"608",1991,25,7.99857142857143,7.99857142857143,8.39973705445143,7.62571428571429,0.189428571428571,0,0,0.212399742857143,0.372194454451429,0.189428571428571
"609",1991,26,9.78714285714286,9.78714285714286,10.3896609558457,7.59571428571429,0.669142857142857,0,0,0.450194114285714,1.67460969870286,0.669142857142857
"610",1991,27,7.79857142857143,7.79857142857143,10.1931911554371,3.73142857142857,1.56985714285714,0.646142857142857,0.646142857142857,0.896678185714286,3.99522725543714,2.216
"611",1991,28,3.22857142857143,3.22857142857143,3.61197691560857,1.90571428571429,0.409,0.347857142857143,0.347857142857143,0.3212413,0.976021329894286,0.756857142857143
