"","date_ymd","Year","Month","SK05JG004_cms","SK05JG004_combined_cms","SK05JG004_predicted_cms","SK05JG006_cms","SK05JG013_cms","SK05JG014_cms","SK05JG014_combined_cms","SK05JG014_predicted_cms","Ungauged_predicted_cms","RC_IC_cms"
"237",1999-09-01,1999,9,NA,4.03239778465467,4.03239778465467,4.05166666666667,0.002,0,0.05979527,0.1194914,-0.140760282012,0.06179527
"238",1999-10-01,1999,10,NA,3.54700461866452,3.54700461866452,3.53903225806452,0.00838709677419355,NA,0.122657483870968,0.122657483870968,-0.123072220045161,0.131044580645161
"239",1999-11-01,1999,11,NA,1.827640270744,1.827640270744,1.968,0.000466666666666667,NA,0.00418132666666667,0.00418132666666667,-0.145007722589333,0.00464799333333333
"240",1999-12-01,1999,12,NA,1.52504516129032,1.52504516129032,1.62064516129032,0,NA,0,0,-0.0956,0
"241",2000-01-01,2000,1,NA,1.44375483870968,1.44375483870968,1.53935483870968,0,NA,0,0,-0.0956,0
"242",2000-02-01,2000,2,NA,1.29749364558306,1.29749364558306,1.38758620689655,0.00103448275862069,NA,0.00318566910508752,0.00318566910508752,-0.0943127131772,0.00422015186370821
"243",2000-03-01,2000,3,NA,1.76099458727101,1.76099458727101,1.59709677419355,0.0749354838709677,0,0,0.0930520039075446,-0.00408967470105161,0.0749354838709677
"244",2000-04-01,2000,4,NA,9.38522387621067,9.38522387621067,9.08466666666667,0.0770666666666667,0.000266666666666667,0.000266666666666667,0.156701946666667,0.0667885962106667,0.0773333333333333
"245",2000-05-01,2000,5,NA,10.0562124041903,10.0562124041903,9.98677419354839,0.0228064516129032,0.000354838709677419,0.000354838709677419,0.129805158064516,-0.0831733990354839,0.0231612903225806
"246",2000-06-01,2000,6,NA,9.29160260112267,9.29160260112267,9.21566666666667,0.0243333333333333,0,0,0.130562033333333,-0.0789594322106667,0.0243333333333333
"247",2000-07-01,2000,7,NA,5.13132804738452,5.13132804738452,3.87603225806452,0.30858064516129,0,0,0.271463425806452,0.675251718352258,0.30858064516129
"248",2000-08-01,2000,8,NA,5.41818975263871,5.41818975263871,5.42645161290323,0.00458064516129032,0,0,0.120770625806452,-0.133613131232258,0.00458064516129032
"249",2000-09-01,2000,9,NA,3.41021980309267,3.41021980309267,3.39466666666667,0.0101666666666667,0,0,0.123539616666667,-0.118153146907333,0.0101666666666667
"250",2000-10-01,2000,10,NA,1.63836151842645,1.63836151842645,1.57193548387097,0.0220967741935484,NA,0.129453370967742,0.129453370967742,-0.0851241106058065,0.15155014516129
"251",2000-11-01,2000,11,NA,1.26296468317133,1.26296468317133,1.38533333333333,0.00283333333333333,NA,0.0132544833333333,0.0132544833333333,-0.138456466828667,0.0160878166666667
"252",2000-12-01,2000,12,NA,1.41278709677419,1.41278709677419,1.50838709677419,0,NA,0,0,-0.0956,0
"253",2001-01-01,2001,1,NA,1.42665806451613,1.42665806451613,1.52225806451613,0,NA,0,0,-0.0956,0
"254",2001-02-01,2001,2,NA,1.35975714285714,1.35975714285714,1.45535714285714,0,NA,0,0,-0.0956,0
"255",2001-03-01,2001,3,NA,2.2622251029461,2.2622251029461,1.41870967741935,0.447096774193548,0,0,0.156903409016081,0.239515242317115,0.447096774193548
"256",2001-04-01,2001,4,NA,1.835956666012,1.835956666012,1.481,0.0898666666666667,0.0954333333333333,0.0954333333333333,0.163046906666667,0.102043092678667,0.1853
"257",2001-05-01,2001,5,NA,5.92076731468258,5.92076731468258,5.90096774193548,0.0111612903225806,0,0,0.124032651612903,-0.115394369188387,0.0111612903225806
"258",2001-06-01,2001,6,NA,10.6788085737127,10.6788085737127,10.6666666666667,0.00936666666666667,0,0,0.123143056666667,-0.120367816287333,0.00936666666666667
"259",2001-07-01,2001,7,NA,10.7567578675987,10.7567578675987,10.7806451612903,0.00270967741935484,0,0,0.112198025806452,-0.138794996917419,0.00270967741935484
"260",2001-08-01,2001,8,NA,7.15916143058194,7.15916143058194,7.28741935483871,0.000645161290322581,0,0,0.0156101290322581,-0.144513214579355,0.000645161290322581
"261",2001-09-01,2001,9,NA,4.0417,4.0417,4.188,0,0,0,0,-0.1463,0
"262",2001-10-01,2001,10,NA,2.83357652168323,2.83357652168323,2.87677419354839,0.000870967741935484,NA,0.099818835483871,0.099818835483871,-0.143887475090968,0.100689803225806
"263",2001-11-01,2001,11,NA,2.64003333333333,2.64003333333333,2.78633333333333,0,NA,0,0,-0.1463,0
"264",2001-12-01,2001,12,NA,2.47762580645161,2.47762580645161,2.57322580645161,0,NA,0,0,-0.0956,0
"265",2002-01-01,2002,1,NA,2.35923870967742,2.35923870967742,2.45483870967742,0,NA,0,0,-0.0956,0
"266",2002-02-01,2002,2,NA,1.71654285714286,1.71654285714286,1.81214285714286,0,NA,0,0,-0.0956,0
"267",2002-03-01,2002,3,NA,1.66862880611312,1.66862880611312,1.72806451612903,0.00435483870967742,0,0,0.0263760722646488,-0.0901666209902387,0.00435483870967742
"268",2002-04-01,2002,4,NA,6.094415874522,6.094415874522,5.923,0.0467666666666667,0,0,0.141682236666667,-0.0170330288113333,0.0467666666666667
"269",2002-05-01,2002,5,NA,10.1750893487865,10.1750893487865,10.1532258064516,0.0116451612903226,0,0,0.124272506451613,-0.114054125407097,0.0116451612903226
"270",2002-06-01,2002,6,NA,11.4269996535207,11.4269996535207,11.3466666666667,0.0253666666666667,0,0,0.131074256666667,-0.0761079364793334,0.0253666666666667
"271",2002-07-01,2002,7,NA,10.7654313411735,10.7654313411735,10.8277419354839,0.000870967741935484,0,0,0.0807059322580645,-0.143887494310323,0.000870967741935484
"272",2002-08-01,2002,8,NA,3.13501321576968,3.13501321576968,2.78322580645161,0.0937741935483871,0,0,0.145870964516129,0.112142251253548,0.0937741935483871
"273",2002-09-01,2002,9,NA,2.13278450759067,2.13278450759067,2.06366666666667,0.0227333333333333,0,0,0.129768913333333,-0.0833844057426667,0.0227333333333333
"274",2002-10-01,2002,10,NA,2.42378802382968,2.42378802382968,2.37290322580645,0.0184516129032258,0,0.119377680645161,0.127646464516129,-0.095213279396129,0.137829293548387
"275",2002-11-01,2002,11,NA,1.80793333333333,1.80793333333333,1.95423333333333,0,NA,0,0,-0.1463,0
"276",2002-12-01,2002,12,NA,1.83214193548387,1.83214193548387,1.92774193548387,0,NA,0,0,-0.0956,0
"277",2003-01-01,2003,1,NA,1.62601290322581,1.62601290322581,1.72161290322581,0,NA,0,0,-0.0956,0
"278",2003-02-01,2003,2,NA,1.66868571428571,1.66868571428571,1.76428571428571,0,NA,0,0,-0.0956,0
"279",2003-03-01,2003,3,NA,2.31644645757043,2.31644645757043,1.1611935483871,0.762,0.566806451612903,0.566806451612903,0.176066815507344,0.217186093675987,1.3288064516129
"280",2003-04-01,2003,4,NA,1.996110387804,1.996110387804,0.0565,0.469866666666667,0.3075,0.3075,0.351412906666667,1.11833081447067,0.777366666666667
"281",2003-05-01,2003,5,NA,3.08696867340194,3.08696867340194,2.95022580645161,0.0386129032258065,0.0248709677419355,0.0248709677419355,0.137640416129032,-0.0395104524045161,0.0634838709677419
"282",2003-06-01,2003,6,NA,8.92577618700067,8.92577618700067,8.93466666666667,0.00443333333333333,0,0,0.120697603333333,-0.134021416332667,0.00443333333333333
"283",2003-07-01,2003,7,NA,8.85275589381097,8.85275589381097,8.91451612903226,0.001,0,0,0.0807698935483871,-0.143530128769677,0.001
"284",2003-08-01,2003,8,NA,8.30563548387097,8.30563548387097,8.45193548387097,0,0,0,0,-0.1463,0
"285",2003-09-01,2003,9,NA,5.385412464672,5.385412464672,5.473,8e-04,0,0,0.05569656,-0.144084095328,8e-04
