"","site_name","site_altname","date_ymd","Year","Month","DOY","latitude","longitude","TDN_mg.L","DOC_mg.L","A254","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX_Ohno","Fmax","PeakA_RU","PeakB_RU","PeakC_RU","PeakD_RU","PeakE_RU","PeakM_RU","PeakN_RU","PeakP_RU","PeakT_RU","PeakA_percent","PeakB_percent","PeakC_percent","PeakD_percent","PeakE_percent","PeakM_percent","PeakN_percent","PeakP_percent","PeakT_percent","turb_lab_NTU","turb_field_NTU","chla_ug.L","secchi_depth_m","ext_coeff_m"
"23","Opposite Parkview","BP opp. park view",2015-06-10,"2015","Jun",161,50.504047,50.504047,NA,NA,19.0809070169782,12.9832420824493,3.02664491231132,0.458821595692579,0.0210382823872917,0.0212179211084091,0.99153363233846,0.770787562853786,1.59245787168599,6.2491690700631,0.862053155287866,2.71266045979197,1.3986305511815,NA,0.865343013123855,0.334960001124612,0.089286091698231,0.90780177482303,NA,0.0275539541755962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Opposite WTP Intake","BP opposite treatment plant intake",2015-06-10,"2015","Jun",161,50.720744,50.720744,NA,NA,19.3403095859763,13.0230443151083,2.94126868922317,0.433085170054123,0.0213394173633794,0.0216225434926536,0.986905974804934,0.759837889030427,1.59080884222642,6.4550147550857,0.865862103181242,2.60397492652063,1.36464908372355,NA,0.848632369584747,0.319261119724241,0.0850436864244515,0.891403692428722,NA,0.0217064774326027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1.5 km below Qu'Appelle R. Inflow East","BP lake below Qu'ap inflow ES (east side)",2015-06-10,"2015","Jun",161,50.722173,50.722173,NA,NA,18.5958101013072,12.4981450623435,2.99728583076192,0.451600068268051,0.0205708912461496,0.021221886520524,0.969324344763376,0.728161295875016,1.56961657827917,8.33398975075246,0.892864677731258,2.60644291096523,1.41871857094907,NA,0.840988037223294,0.349879284007527,0.100560979706797,0.880195588944886,NA,0.0252618907954392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","0.5 mi Above Outlet","BP 0.5 miles above outlet",2015-06-10,"2015","Jun",161,50.721563,50.721563,NA,NA,18.5154699778935,12.5551563573426,2.7584895104052,0.414694546138158,0.0219279487040946,0.0209874353480237,1.04481316275547,0.770226370432728,1.59191645887744,6.26862889206754,0.86242247130111,NA,1.29443301839884,NA,0.792609251543665,0.301545573915698,0.080471060956866,0.831826191138026,NA,0.0226710199604933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1.5 km below Qu'Appelle R. Inflow West","BP lake below Qu'appelle inflow WS (west side)",2015-06-10,"2015","Jun",161,50.71159,50.71159,NA,NA,11.723059367157,7.94809208048042,1.87960230503289,0.296473088418788,0.0208707866248955,0.0209482647367849,0.996301454422935,0.741732797018396,1.53338907030255,5.3813777522896,0.843294028528368,1.73046691166022,0.891353166448511,NA,0.506993217818978,0.22278813501087,0.0672189547753596,0.537450073530179,NA,0.0180588125523083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1.5 km below Qu'Appelle R. Inflow Centre","BP below Qu'ap inflow",2015-06-10,"2015","Jun",161,NA,NA,NA,NA,17.0377444145835,11.5371346799227,2.77004591921878,0.445966770463603,0.0206512989717848,0.0206899361600791,0.998132561260927,0.740200137218085,1.54785624651052,6.67576066305306,0.869719752361032,2.38558471701831,1.26500083278637,NA,0.744413475329615,0.310577804629903,0.0907486772197819,0.780132721717275,NA,0.0211092456179625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Qu'Appelle River at Marquis","Qu'appelle River at Marquis",2015-07-13,"2015","Jul",194,50.57318,50.57318,NA,NA,9.0953643058019,6.20716336385488,1.48507946146288,0.245286304467132,0.0209176146540581,0.0206584775902264,1.01254386063542,0.72871992407339,1.53139316497333,7.36044456952978,0.880389135806896,1.3350146380773,0.718309041579785,NA,0.408469571093955,0.185635964497247,0.0612192400933022,0.434832728548455,NA,0.0141268777287984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Opposite WTP Intake","BP treatment plant intake",2015-07-13,"2015","Jul",194,50.57263,50.57263,NA,NA,18.8002053894465,12.4795141427284,2.70248119665691,0.383366060843416,0.0223650978905276,0.0219742348376308,1.01778733392925,0.777541847598973,1.6083742643794,6.81278746537124,0.872004709659348,2.67780322603658,1.4011327270663,NA,0.867651357289908,0.33033489713923,0.0902460477017068,0.910343773596149,NA,0.0245873942746665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","0.5 mi Above Outlet","BP 0.5 miles above outlet",2015-07-13,"2015","Jul",194,50.735692,50.735692,NA,NA,18.3973471836232,12.1368278934023,2.53308829782111,0.358192187309676,0.0230339715844226,0.0220472847912592,1.04475321122329,0.778022383656555,1.60873143587045,5.9936627670582,0.857013408666166,2.5733348310252,1.31856618306979,NA,0.836472748026037,0.305420336175189,0.0821048648141138,0.892010840667842,NA,0.0205825227263016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Opposite Parkview","BP opp. park view",2015-07-13,"2015","Jul",194,50.734637,50.734637,NA,NA,20.7976576483416,13.9045835013386,3.1418301042233,0.488580625546857,0.0218087200148612,0.0212837032058095,1.02466754981381,0.772162905644219,1.59915096252553,6.20349930184795,0.861178580284798,3.03343745012824,1.55014636241086,NA,0.962010452033767,0.368877354639667,0.101280892981494,1.00991603470665,NA,0.0303921377173491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
