date_ymd,year,month,DOC_mg.L,chla_ug.L,TP_ug.L,SRP_ug.L,SO4_mg.L,DON_mg.L,NO3_mg.L,NH3_mg.L,SK05JG004_combined_cms,SK05JG006_cms,RC_IC_cms
1995-06-01,1995,6,6.2250000000000005,7.5,47.75,9.25,99.8,0.5475,0.045,0.0275,7.964,8.543,0.0077666666666666665
1995-07-01,1995,7,5.58,9.6,59,18.8,95.5,0.578,0.0375,0.038,6.065483870967742,6.852903225806451,9.67741935483871e-5
1995-08-01,1995,8,5.925000000000001,20.75,79,8,89.75,0.8766666666666667,0.09,0.045000000000000005,4.441290322580645,4.876774193548387,0.004709677419354839
1995-09-01,1995,9,6,26,62.25,3.5,85.25,0.875,0.015,0,1.8113000000000001,1.9497,0.0022
1995-10-01,1995,10,5.72,12.4,56.4,3.2,87,0.706,0,0.048,1.5306451612903227,1.8138709677419356,0.006
1995-11-01,1995,11,5.625,10.25,44.5,3,93.5,0.66,0.0425,0.035,1.506350275363333,1.6423333333333332,0.008747563333333333
1995-12-01,1995,12,5.825,8.75,34.5,6.25,99,0.57,0.1875,0.07333333333333333,1.3844,1.48,0
1996-01-01,1996,1,5.72,5.25,30,11.5,106.6,0.534,0.416,0.135,1.158916129032258,1.2545161290322582,0
1996-02-01,1996,2,5.775,3.5,37.666666666666664,15.333333333333334,108.75,0.5175000000000001,0.3525,0.19,1.2049207547311458,1.2962068965517242,0.003926373307996851
1996-03-01,1996,3,5.975,20,39.5,9.5,109.75,0.6525,0.48250000000000004,0.1525,3.1440311938028764,1.2758064516129033,2.0708387096774192
1996-04-01,1996,4,6.52,34.6,69.6,12,96.6,0.838,0.17200000000000001,0.12,8.211974656012666,0.20786666666666667,2.9433333333333334
1996-05-01,1996,5,6.625,16.5,77.5,7.75,66.25,0.7749999999999999,0,0.08499999999999999,0.8350316052296775,0.06438709677419355,0.31425806451612903
1996-06-01,1996,6,5.775,21.75,55.75,2.75,68,0.8049999999999999,0,0.0875,6.177388927762666,1.5980666666666667,1.2003333333333333
1996-07-01,1996,7,6.72,32.2,89.4,12.6,76,1.116,0.024,0.068,4.609163582840645,3.579774193548387,0.2577741935483871
1996-08-01,1996,8,8.1,25.75,117.75,35.75,88.25,1.1575,0.0625,0.0825,4.242335759667097,4.2538709677419355,0.004709677419354839
1996-09-01,1996,9,8.6,19.8,122.8,49.4,100.8,1.128,0.1125,0.082,3.43404272121,3.446,0.005566666666666667
1996-10-01,1996,10,8.45,19.666666666666668,127.75,50.25,112.5,0.9725,0.3125,0.07,2.8322275850341936,2.8274193548387094,0.00764516129032258
1996-11-01,1996,11,9.1,10,91.75,35.5,127.75,0.99,0.0375,0.1,1.1433666666666666,1.2896666666666667,0
