,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006
dd/mm/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
15/03/2015 00:00:00,8.34471218330497,,,1
16/03/2015 00:00:00,10.2747983985927,,,1
17/03/2015 00:00:00,13.0119358054066,,,1
18/03/2015 00:00:00,7.08871513565238,,,1
19/03/2015 00:00:00,5.0946266094745,,,1
20/03/2015 00:00:00,4.00109529937236,,,1
21/03/2015 00:00:00,3.28667080110239,,,1
22/03/2015 00:00:00,2.14369164359654,,,1
23/03/2015 00:00:00,1.79890540784806,,,1
24/03/2015 00:00:00,1.35823197596078,,,1
25/03/2015 00:00:00,1.17807666679473,,,1
26/03/2015 00:00:00,1.02525907419558,,,1
27/03/2015 00:00:00,1.13627389002751,,,1
28/03/2015 00:00:00,3.05694030566101,,,1
29/03/2015 00:00:00,6.53409061948407,,,1
30/03/2015 00:00:00,9.9198096460222,,,1
31/03/2015 00:00:00,8.82329788162244,,,1
01/04/2015 00:00:00,6.06144455211704,,,1
02/04/2015 00:00:00,4.42505371990473,,,1
03/04/2015 00:00:00,3.02640025741262,,,1
04/04/2015 00:00:00,2.10767558829176,,,1
05/04/2015 00:00:00,1.581382856032,,,1
06/04/2015 00:00:00,1.22902061097557,,,1
07/04/2015 00:00:00,0.991125434573435,,,1
08/04/2015 00:00:00,0.828339183193119,,,1
09/04/2015 00:00:00,0.692885625643151,,,1
10/04/2015 00:00:00,0.593432182349199,,,1
11/04/2015 00:00:00,0.51866413167458,,,1
12/04/2015 00:00:00,0.444229616702222,,,1
13/04/2015 00:00:00,0.365154971673868,,,1
14/04/2015 00:00:00,0.30049126024776,,,1
15/04/2015 00:00:00,0.252844180302617,,,1
16/04/2015 00:00:00,0.217602012209137,,,1
17/04/2015 00:00:00,0.20259307004417,,,1
18/04/2015 00:00:00,0.163482502640212,,,1
19/04/2015 00:00:00,0.141232318790116,,,1
20/04/2015 00:00:00,0.100016959769255,,,1
21/04/2015 00:00:00,0.11282879141447,,,1
22/04/2015 00:00:00,0.117943832340754,,,1
23/04/2015 00:00:00,0.134983577154976,,,1
24/04/2015 00:00:00,0.147735008676784,,,1
25/04/2015 00:00:00,0.139307175491559,,,1
26/04/2015 00:00:00,0.137161626094514,,,1
27/04/2015 00:00:00,0.124112794204165,,,1
28/04/2015 00:00:00,0.12479744222678,,,1
29/04/2015 00:00:00,0.100865682671611,,,1
30/04/2015 00:00:00,0.103983659593275,,,1
01/05/2015 00:00:00,0.0827963763404986,,,1
02/05/2015 00:00:00,0.0914895438256089,,,1
03/05/2015 00:00:00,0.0888762848323606,,,1
04/05/2015 00:00:00,0.0562920143040261,,,1
05/05/2015 00:00:00,0.145559398611849,,,1
06/05/2015 00:00:00,0.146362620035173,,,1
07/05/2015 00:00:00,0.147169857261635,,,1
08/05/2015 00:00:00,0.113292765391212,,,1
09/05/2015 00:00:00,0.0942561487619006,,,1
10/05/2015 00:00:00,0.0527476835469472,,,1
11/05/2015 00:00:00,0.0359303658922355,,,1
12/05/2015 00:00:00,0.0287152561535103,,,1
13/05/2015 00:00:00,0.024389450573752,,,1
14/05/2015 00:00:00,0.016941067665834,,,1
15/05/2015 00:00:00,0.0200223424345096,,,1
16/05/2015 00:00:00,0.0181242778196629,,,1
17/05/2015 00:00:00,0.0135774241290554,,,1
18/05/2015 00:00:00,0.00465531705365575,,,1
19/05/2015 00:00:00,0.00555317403614028,,,1
20/05/2015 00:00:00,0.00490350238380346,,,1
21/05/2015 00:00:00,0,,,1
22/05/2015 00:00:00,0,,,1
