"","p.05","p.50","p.95","ex.05","ex.50","ex.95"
"X162",22.3247113471081,27.8337216683792,33.8160490801188,12.7093739752781,18.2183842965492,24.2007117082888
"X163",15.4770149035491,19.4725022899936,23.4071777209646,8.91393278074908,12.9094201671936,16.8440955981646
"X164",15.1858108664395,19.2620632141642,23.3172643810287,8.21287919529949,12.2891315430242,16.3443327098887
"X165",15.4887086682655,19.3472553210655,23.5836109921308,8.52319582036547,12.3817424731656,16.6180981442308
"X166",13.9143692537696,16.9056751161373,19.8799665666524,7.43794103110958,10.4292468934773,13.4035383439924
"X167",14.4124732405408,17.4316010958855,20.4968828352182,8.83829378192082,11.8574216372655,14.9227033765982
"X168",15.2359953827418,19.1199368150384,23.2886462247265,6.83746251531177,10.7214039476084,14.8901133572965
"X169",15.0693247273624,19.0515715636205,23.1375616233268,6.45403618366243,10.4362830199205,14.5222730796268
"X170",14.1136134055831,17.3264257143497,20.2798516997227,5.98733929669315,9.2001516054597,12.1535775908327
"X171",22.7564737792263,28.2138028940896,34.1001887214193,13.6188051696063,19.0761342844696,24.9625201117993
"X172",22.3898841407132,27.6890671537056,33.7288050297261,13.5395240332932,18.8387070462855,24.8784449223061
"X173",22.5827564339791,27.8949315188199,33.85694891822,10.9318065743591,16.2439816591999,22.2059990586
"X174",22.304514866458,27.7008904119791,33.7949347462912,11.853308659178,17.2496842046991,23.3437285390112
"X175",22.1558834248423,27.5491243731059,33.6425297291319,12.2820469075123,17.6752878557759,23.7686932118019
"X176",22.2357460162016,28.1928951894098,33.8694835648043,9.32277451962164,15.2799236928299,20.9565120682243
"X177",15.027678080873,19.1348620519824,23.2272229878374,3.357277842833,7.4644618139424,11.5568227497974
"X178",14.3733626454998,17.4626556789781,20.4882850267123,7.0808020681098,10.1700951015881,13.1957244493223
"X179",15.6868483809997,20.0608130268101,24.4002558428995,10.0212058333897,14.3951704792001,18.7346132952895
"X180",24.7780256790262,28.6451556868518,32.4574396231568,18.6089338821462,22.4760638899718,26.2883478262768
"X181",23.4029534172098,28.9592944545421,34.7761871404117,17.3497864555397,22.9061274928721,28.7230201787417
"X182",23.6555665502268,28.9256990011528,34.3533504135406,18.4810880193468,23.7512204702727,29.1788718826606
"X183",22.7926525335572,28.3653430032459,33.7481325493946,14.7355388860972,20.3082293557859,25.6910189019346
"X184",15.678473556246,19.8436391192459,23.8339415475461,8.14844349643597,12.3136090594359,16.3039114877361
"X185",14.9070796086895,19.257174916746,23.7680909344594,5.07124281669953,9.421338124756,13.9322541424694
"X186",22.7240913149423,28.2912838764269,34.3335024080505,13.2561950441923,18.8233876056769,24.8656061373005
"X187",15.6904960545672,19.8933868111877,24.4922834239537,9.84552496997715,14.0484157265977,18.6473123393637
"X188",15.5790701781686,19.5373558581607,23.8903553354839,9.29050244440856,13.2487881244007,17.6017876017239
"X189",24.7660507826207,28.5712122234459,32.3261753789763,17.6803826002507,21.4855440410759,25.2405071966063
"X190",15.1457028055043,19.1013572401368,23.0903469048697,7.36498304842429,11.3206374830568,15.3096271477897
"X191",15.0593210424193,18.8734179664331,23.1335008624142,-0.539510134340691,3.2745867896731,7.53466968565419
"X192",22.1513931318048,27.7145109963637,33.2677089554468,6.68211517770476,12.2452330422638,17.7984310013468
"X193",23.2378049278676,28.6682913076132,34.7021953555759,15.4934430504276,20.9239294301732,26.9578334781359
"X194",22.8028762606,28.3972498805497,34.4285005421727,14.17379911216,19.7681727321097,25.7994233937327
"X195",22.5747247191798,28.3114865496981,34.1105056591563,11.7748856993998,17.5116475299181,23.3106666393763
"X196",22.8449846529052,28.4523695930632,34.8813968585947,9.83867209186521,15.4460570320232,21.8750842975547
"X197",22.8196859580178,28.4611685128961,34.1711848596183,10.0795034628978,15.7209860177761,21.4310023644983
"X198",23.3261259951072,28.4240297004655,34.6704143933357,6.3212202944272,11.4191239997855,17.6655086926557
"X199",22.7372677875763,28.7492999388508,34.604280740346,4.44427462351628,10.4563067747908,16.311287576286
