"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq","s.exceed.H","sn.exceed.H."
"154","E09-02","MBU",10.48594503,3.313113259,"jack pine",24.2156373,40.96382381,24.9142435,13.26989256,141.7162628,14.17162628,141.7162628,76.06684875,21.77831116,10.74261722,21.22856225,76.0668487549,7.60668487549,-0.901733719999999,2.411379539
"155","E09-03","MBU",20.02770423,10.0834651,"trembling aspen",44.7352561,52.67691643,28.48759098,28.48759098,144.1683044,14.41683044,144.1683044,61.72608948,20.58943939,14.07076054,34.09846477,61.7260894775,6.17260894775,14.07076054,24.15422564
"156","E10-01","MBU",15.67364054,5.590441989,"trembling aspen",280.3125339,325.5414404,301.3521149,264.0648688,132.7861023,13.27861023,132.7861023,104.8113098,23.75974121,288.07350467,303.74714521,104.8113098145,10.48113098145,250.78625857,256.376700559
"157","E10-02","MBU",1.474632234,-6.531899599,"white spruce",47.25879141,63.2998997,49.34588533,38.35766447,119.5164185,11.95164185,119.5164185,144.0521851,26.35686035,37.39424348,38.868875714,144.0521850586,14.40521850586,26.40602262,19.874123021
"158","E11-01","MBU",10.4422324,3.211488619,"jack pine",32.25920938,48.79683115,32.74725083,21.31346464,117.0401993,11.70401993,117.0401993,75.90605164,19.29462509,21.0432309,31.4854633,75.9060516357,7.59060516357,9.60944471,12.820933329
"159","E11-02","MBU",16.49391139,6.5163949,"trembling aspen",70.93103245,116.6531016,92.46377611,54.68336733,101.3148727,10.13148727,101.3148727,96.15337372,19.74682465,82.33228884,98.82620023,96.1533737183,9.61533737183,44.55188006,51.06827496
"160","E12-01","MBU",11.43622536,4.258818208,"jack pine",126.1691049,142.1578347,126.1082544,115.2233602,120.5663757,12.05663757,120.5663757,65.63082123,18.6197197,114.05161683,125.48784219,65.630821228,6.5630821228,103.16672263,107.425540838
"161","E12-02","MBU",11.03043723,3.936999096,"jack pine",386.1089296,401.9734018,385.9238215,375.1631849,114.955658,11.4955658,114.955658,69.72931671,18.46849747,374.4282557,385.45869293,69.7293167114,6.97293167114,363.6676191,367.604618196
"162","E12-03","MBU",10.98540262,3.834706365,"jack pine",324.6290269,340.4929244,324.4433441,313.6832822,111.4850311,11.14850311,111.4850311,69.65512848,18.11401596,313.29484099,324.28024361,69.655128479,6.9655128479,302.53477909,306.369485455
"163","E13-01","MBU",9.372273162,1.333498486,"white spruce",30.22683735,47.45234532,33.57795521,22.29702069,118.8368759,11.88368759,118.8368759,64.76428223,18.36011581,21.69426762,31.066540782,64.7642822266,6.47642822266,10.4133331,11.746831586
