"","p.05","p.50","p.95","ex.05","ex.50","ex.95"
"X48",5.40801831498745,6.72249272834316,8.25948465454061,2.85506154313745,4.16953595649316,5.70652788269061
"X49",5.45796563551495,6.84277941940052,8.44944762136081,2.49391457960495,3.87872836349052,5.48539656545081
"X50",5.33913254722917,6.75204340356843,8.16789499499988,2.58147206291917,3.99438291925843,5.41023451068988
"X51",5.15486839091121,6.54232618678163,7.92996404614672,3.02030895030121,4.40776674617163,5.79540460553672
"X52",5.16265341830042,6.54103244882288,7.9411461507889,2.90728957247042,4.28566860299288,5.6857823049589
"X53",5.33916849712657,6.71661917000279,8.22423196574477,3.15534205059657,4.5327927234728,6.04040551921477
"X54",14.0122520938882,17.402319645455,20.8196049028509,11.7929573551182,15.183024906685,18.6003101640809
"X55",5.27811591510585,6.69579615874204,8.16939300184165,2.56310336475585,3.98078360839204,5.45438045149165
"X56",13.7802915326683,17.2123066954582,20.6675674782016,11.0242465726483,14.4562617354382,17.9115225181816
"X57",14.1706859198516,17.2882418846109,20.7299219124977,11.6153220740216,14.7328780387809,18.1745580666677
"X58",5.35659005531534,6.75698408411244,8.19839143374309,3.34510304817534,4.74549707697244,6.18690442660309
"X59",14.292202325359,17.7330153520078,21.2660470912963,11.715850396649,15.1566634232978,18.6896951625863
"X60",5.39603602166511,6.78414743689726,8.25220596973502,3.30455443139511,4.69266584662726,6.16072437946502
"X61",5.35555607799528,6.71769998105439,8.16923570799185,3.57922608379528,4.94136998685439,6.39290571379185
"X62",5.6632969476054,7.16807998005812,8.79268686708233,2.6425049401554,4.14728797260812,5.77189485963233
"X63",5.59755777970931,7.04385952871271,8.64878745086739,2.85374712601931,4.30004887502271,5.90497679717739
"X64",14.2044715085533,17.6235809813397,21.2092132442439,11.5647233167233,14.9838327895097,18.5694650524139
"X65",5.51173477614175,6.94536302838763,8.54841288450324,3.35418701613176,4.78781526837763,6.39086512449324
"X66",14.2321073066294,17.6020308594823,21.1461505018436,11.5492534171594,14.9191769700123,18.4632966123736
"X67",13.8990542948795,17.1077990511017,20.6387188671347,10.7217135966395,13.9304583528617,17.4613781688947
"X68",5.33565426997958,6.77068189146816,8.15354914524329,2.50497704676958,3.94000466825816,5.32287192203329
"X69",14.0423881622105,17.5009949358972,20.8822809557857,11.8077571960205,15.2663639697072,18.6476499895957
"X70",5.05359839730238,6.48776834159514,7.96702948550423,1.52185096078238,2.95602090507514,4.43528204898423
"X71",5.20038527038531,6.49737452559582,7.98389582754458,2.40926836517531,3.70625762038582,5.19277892233458
"X72",5.22230874584246,6.61867201438734,8.01758539539085,2.64685708568246,4.04322035422735,5.44213373523085
"X73",5.288223845174,6.64215045203102,8.05168821403534,1.683571058924,3.03749766578102,4.44703542778534
"X74",13.9131510812495,17.0536469583271,20.5650325268362,11.2337784845095,14.374274361587,17.8856599300962
"X75",5.84881350455786,7.44457664619203,9.14435223579413,2.74846751151786,4.34423065315204,6.04400624275413
"X76",5.86661968335473,7.5483048795008,9.24942077743642,2.55357380017473,4.2352589963208,5.93637489425642
"X77",14.6203901394752,18.3364687092535,21.6291207496492,11.0275869473352,14.7436655171135,18.0363175575092
"X78",6.02858221450653,7.78655915146183,9.52870173501986,3.06259004989653,4.82056698685183,6.56270957040986
"X79",14.5575124572149,17.9388118699301,21.5064504375009,11.2826822112449,14.6639816239601,18.2316201915309
"X80",5.34078373967271,6.83535605106777,8.36798564144955,1.64053196965271,3.13510428104776,4.66773387142955
"X81",5.77191746949352,7.36503842630368,9.11080292481216,3.20431721925352,4.79743817606368,6.54320267457216
"X82",5.57703403671381,7.0740483094375,8.65227005731524,2.20491527755381,3.7019295502775,5.28015129815524
"X83",5.99813212551769,8.94651478664563,13.0064870198203,2.63912104763769,5.58750370876563,9.64747594194032
"X84",5.81645438549947,8.76038030668084,12.7820950754906,1.56939589855947,4.51332181974084,8.53503658855061
"X85",5.84450414674467,9.10473919656942,12.967447831635,2.18970182435466,5.44993687417942,9.31264550924504
"X86",6.03169522288595,9.00321465269309,13.0048323474415,1.95658535960595,4.92810478941309,8.92972248416153
"X87",5.86330799069587,9.03679802191906,12.879405836625,2.57387432065587,5.74736435187906,9.58997216658499
"X88",5.92657824065194,8.9997893781822,12.9519935973602,2.50482912566194,5.5780402631922,9.5302444823702
"X89",5.86055094568578,8.93501583333629,12.9466988397661,1.14980990259578,4.22427479024629,8.23595779667612
"X90",8.09575626703184,11.4809492732381,15.5520412456846,3.42674572321184,6.8119387294181,10.8830307018646
"X91",8.18658416120946,11.5767648286836,15.6486345327363,4.26634185163946,7.6565225191136,11.7283922231663
"X92",8.20302515936623,11.7077769013946,15.9070469380602,4.28448649359623,7.7892382356246,11.9885082722902
"X93",5.84833171013276,8.97233721063819,12.7938817981289,1.11227481011276,4.23628031061819,8.05782489810888
"X94",5.89301257207141,8.94082495336097,12.8338602916011,1.88753199651141,4.93534437780097,8.82837971604109
"X95",7.78106506077872,11.4218080815417,15.7756795611812,3.02175948826872,6.6625025090317,11.0163739886712
"X96",6.05258082412469,9.14189863548349,12.9823483509133,1.86449908279469,4.95381689415349,8.79426660958325
"X97",6.13867623167966,9.17845711867596,13.2430628900446,2.41765534239966,5.45743622939596,9.52204200076462
"X98",5.86886067477175,8.97126895529221,12.9545736078007,1.90674519625175,5.00915347677221,8.99245812928068
"X99",6.58513076632235,9.77628246609741,13.7423312950717,3.42450130312235,6.61565300289741,10.5817018318717
"X100",6.2668677403351,9.42625718155992,13.2984908569148,2.5831908299351,5.74258027115992,9.61481394651485
"X101",15.4942309119491,20.2755188737524,24.9381916966019,11.9824492194491,16.7637371812524,21.4264100041019
"X102",15.7092947832964,20.547909971307,25.605642222705,12.2524611346164,17.091076322627,22.148808574025
"X103",9.32721794609293,12.6966044367912,17.038104604013,5.81691559318293,9.1863020838812,13.527802251103
"X104",9.1374521934775,12.7201464039882,17.2024670164554,5.6673437797775,9.25003799028825,13.7323586027554
"X105",8.64083600834567,12.1091692735348,16.4131612392946,5.01867681339567,8.4870100785848,12.7910020443446
"X106",6.37702507184557,9.64120264446555,13.6408048975782,2.85374969647557,6.11792726909555,10.1175295222082
"X107",8.98159489252418,12.7273960128802,16.8691728781207,4.37810291864418,8.1239040390002,12.2656809042407
"X108",6.45935900689907,9.56454711795987,13.5158113080907,2.51731188775907,5.62249999881987,9.57376418895071
"X109",9.22481529858804,12.5392130586771,16.8292004080538,6.00952026989804,9.3239180299871,13.6139053793638
"X110",6.16270404891348,9.02144816383558,12.9106533744045,1.90636325912348,4.76510737404558,8.65431258461454
"X111",6.03063060961836,9.07447866528963,12.9473883364895,2.61489879809836,5.65874685376963,9.53165652496953
"X112",15.2898553049403,19.9143341864719,25.0702362491317,11.8993256723703,16.5238045539019,21.6797066165617
"X113",15.380900758131,20.3222262877084,25.1572310651557,11.645396607741,16.5867221373184,21.4217269147657
"X114",6.5612202602228,9.72590206114451,13.8164095027823,3.4049282985528,6.56961009947451,10.6601175411123
"X115",6.78899841258154,10.0298469523895,13.9768840846414,3.85189056346154,7.09273910326945,11.0397762355214
"X116",9.6961129641085,13.5103262206521,17.665270703584,6.8667134737485,10.6809267302921,14.835871213224
"X117",6.68400144742891,9.78126493984309,13.8407629173183,3.43594007657891,6.53320356899308,10.5927015464683
"X118",16.0094241787166,20.8466544576585,25.5485143602479,13.1063201595466,17.9435504384885,22.6454103410779
"X119",6.78970908812544,10.229444217478,14.1729058066001,3.87655448607544,7.316289615428,11.2597512045501
"X120",6.8987250028009,9.9613916911674,14.0836199179791,3.0788717923509,6.1415384807174,10.2637667075291
"X121",6.62248733799961,9.86604007844745,14.0555577893816,2.15783966343961,5.40139240388745,9.59091011482156
"X122",6.75870530594337,10.0337701793997,14.0543879334394,2.33934915054337,5.6144140239997,9.63503177803938
"X123",16.0552673397783,20.5482065530852,26.0553936441567,13.2265510616983,17.7194902750051,23.2266773660767
"X124",15.9055738334755,20.7012026652173,25.5792955071559,12.8143010978755,17.6099299296173,22.4880227715559
"X125",9.3626891787243,12.7986016316628,17.1261314862554,4.2279700930343,7.66388254597275,11.9914124005654
"X126",15.8499848365352,20.7480336502407,25.8557479665176,11.9562207221552,16.8542695358606,21.9619838521376
"X127",6.53913871582037,9.80197023019626,13.5727548363471,2.56996261414037,5.83279412851626,9.6035787346671
"X128",6.43549931602116,9.56038722585124,13.2658386709401,2.33702939109116,5.46191730092124,9.16736874601008
"X129",9.52257035862173,12.8553406186554,17.1567173453872,5.25322221409173,8.5859924741254,12.8873692008572
"X130",15.8474212245741,20.42928757257,25.3765206359398,11.4881675319441,16.07003387994,21.0172669433098
"X131",9.46040270493681,13.2355856675617,17.4918549614324,5.81310846970681,9.58829143233165,13.8445607262024
