"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq"
"49","C06-05","AP",6.58983628,2.184260289,"jack pine",17.64448702,21.20487533,12.68980632,12.68980632,81.4539566,8.14539566,81.4539566,27.57660484,10.90305614,4.54441066,11.13424694,27.5766048431,2.75766048431
"50","C06-06","AP",7.183705179,2.820765203,"jack pine",17.2992073,20.8595956,12.3445266,12.3445266,76.40277863,7.640277863,76.40277863,21.34559441,9.774837303,4.704248737,11.887953916,21.3455944061,2.13455944061
"51","C06-07","AP",6.965326016,2.688843182,"jack pine",18.1515192,21.71190751,13.1968385,13.1968385,82.62168884,8.262168884,82.62168884,22.55363846,10.51753273,4.934669616,11.899995632,22.5536384583,2.25536384583
"52","C07-01","AP",7.124594073,2.756001694,"jack pine",17.43485335,20.99524166,12.48017265,12.48017265,66.18501282,6.618501282,66.18501282,21.83826447,8.802327728,5.861671368,12.986265441,21.8382644653,2.18382644653
"53","C07-02","AP",13.39124616,NA,"black spruce",28.80092666,28.05892666,13.31734594,13.31734594,61.36790466,6.136790466,61.36790466,22.19294739,8.356085205,7.180555474,20.571801634,22.1929473877,2.21929473877
"54","C07-03","AP",6.650156297,2.271781078,"jack pine",17.58834588,21.14873419,12.63366518,12.63366518,86.22790527,8.622790527,86.22790527,27.1501255,11.33780308,4.010874653,10.66103095,27.1501255035,2.71501255035
"55","C07-04","AP",12.6800177,NA,"black spruce",27.24442119,26.50242119,11.76084047,11.76084047,89.06536102,8.906536102,89.06536102,27.5604496,11.66258106,2.854304368,15.534322068,27.5604496002,2.75604496002
"56","C07-05","AP",12.87398356,NA,"black spruce",28.78211798,28.04011798,13.29853727,13.29853727,76.71674347,7.671674347,76.71674347,25.55363846,10.22703819,5.626862923,18.500846483,25.5536384583,2.55536384583
"57","C08-01","AP",7.254823032,2.982940898,"jack pine",17.72351456,21.28390286,12.76883386,12.76883386,71.87719727,7.187719727,71.87719727,20.11487007,9.199206734,5.581114133,12.835937165,20.1148700714,2.01148700714
"58","C08-02","AP",12.76413662,NA,"black spruce",28.75857406,28.01657406,13.27499334,13.27499334,69.18063354,6.918063354,69.18063354,25.76351929,9.494415283,6.356929986,19.121066606,25.7635192871,2.57635192871
"59","C08-03","AP",7.097480185,2.816711156,"jack pine",17.62203702,21.18242533,12.66735632,12.66735632,66.47200012,6.647200012,66.47200012,20.9148159,8.738681602,6.020156308,13.117636493,20.9148159027,2.09148159027
"60","C08-04","AP",7.470091016,3.174969199,"jack pine",17.26207952,20.82246782,12.30739881,12.30739881,71.79515076,7.179515076,71.79515076,17.76329994,8.95584507,5.127883734,12.59797475,17.763299942,1.7763299942
