"","Year","month","day","date","40 cms threshold_uniform demand_lower bound.cms","40 cms threshold_uniform demand_upper bound.cms","40 cms threshold_allocation demand_lower bound.cms","40 cms threshold_allocation demand_upper bound.cms","40 cms threshold_WRMM demand_lower bound.cms","40 cms threshold_WRMM demand_upper bound.cms","50 cms threshold_uniform demand_lower bound.cms","50 cms threshold_uniform demand_upper bound.cms","50 cms threshold_allocation demand_lower bound.cms","50 cms threshold_allocation demand_upper bound.cms","50 cms threshold_WRMM demand_lower bound.cms","50 cms threshold_WRMM demand_upper bound.cms","60 cms threshold_uniform demand_lower bound.cms","60 cms threshold_uniform demand_upper bound.cms","60 cms threshold_allocation demand_lower bound.cms","60 cms threshold_allocation demand_upper bound.cms","60 cms threshold_WRMM demand_lower bound.cms","60 cms threshold_WRMM demand_upper bound.cms"
"110",2001,4,20,2001-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",2001,4,21,2001-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",2001,4,22,2001-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",2001,4,23,2001-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",2001,4,24,2001-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",2001,4,25,2001-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",2001,4,26,2001-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",2001,4,27,2001-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",2001,4,28,2001-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",2001,4,29,2001-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",2001,4,30,2001-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",2001,5,1,2001-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2001,5,2,2001-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2001,5,3,2001-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2001,5,4,2001-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2001,5,5,2001-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",2001,5,6,2001-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",2001,5,7,2001-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",2001,5,8,2001-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",2001,5,9,2001-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",2001,5,10,2001-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",2001,5,11,2001-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",2001,5,12,2001-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",2001,5,13,2001-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2001,5,14,2001-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2001,5,15,2001-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2001,5,16,2001-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2001,5,17,2001-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2001,5,18,2001-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",2001,5,19,2001-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2001,5,20,2001-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2001,5,21,2001-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",2001,5,22,2001-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",2001,5,23,2001-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",2001,5,24,2001-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",2001,5,25,2001-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",2001,5,26,2001-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",2001,5,27,2001-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",2001,5,28,2001-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",2001,5,29,2001-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2001,5,30,2001-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",2001,5,31,2001-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",2001,6,1,2001-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",2001,6,2,2001-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",2001,6,3,2001-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",2001,6,4,2001-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",2001,6,5,2001-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",2001,6,6,2001-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",2001,6,7,2001-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",2001,6,8,2001-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",2001,6,9,2001-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",2001,6,10,2001-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",2001,6,11,2001-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",2001,6,12,2001-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
